movie_id,title,budget_rank,budget,revenue,gross_profit,release_date,release_season,runtime,vote_average,vote_count
862,Toy Story,2019.0,30000000,373554033,343554033,1995-10-30,Fall,81,7.7,5415
8844,Jumanji,792.0,65000000,262797249,197797249,1995-12-15,Winter,104,6.9,2413
15602,Grumpier Old Men,,,,,1995-12-22,Winter,101,6.5,92
31357,Waiting to Exhale,3199.0,16000000,81452156,65452156,1995-12-22,Winter,127,6.1,34
11862,Father of the Bride Part II,,,76578911,,1995-02-10,Winter,106,5.7,173
949,Heat,930.0,60000000,187436818,127436818,1995-12-15,Winter,170,7.7,1886
11860,Sabrina,944.0,58000000,,,1995-12-15,Winter,127,6.2,141
45325,Tom and Huck,,,,,1995-12-22,Winter,97,5.4,45
9091,Sudden Death,1725.0,35000000,64350171,29350171,1995-12-22,Winter,106,5.5,174
710,GoldenEye,944.0,58000000,352194034,294194034,1995-11-16,Fall,130,6.6,1194
9087,The American President,812.0,62000000,107879496,45879496,1995-11-17,Fall,106,6.5,199
12110,Dracula: Dead and Loving It,,,,,1995-12-22,Winter,88,5.7,210
21032,Balto,,,11348324,,1995-12-22,Winter,78,7.1,423
10858,Nixon,1299.0,44000000,13681765,-30318235,1995-12-22,Winter,192,7.1,72
1408,Cutthroat Island,384.0,98000000,10017322,-87982678,1995-12-22,Winter,119,5.7,137
524,Casino,1042.0,52000000,116112375,64112375,1995-11-22,Fall,178,7.8,1343
4584,Sense and Sensibility,3123.0,16500000,135000000,118500000,1995-12-13,Winter,136,7.2,364
5,Four Rooms,5773.0,4000000,4300000,300000,1995-12-09,Winter,98,6.5,539
9273,Ace Ventura: When Nature Calls,2019.0,30000000,212385533,182385533,1995-11-10,Fall,90,6.1,1128
11517,Money Train,930.0,60000000,35431113,-24568887,1995-11-21,Fall,103,5.4,224
8012,Get Shorty,1830.0,30250000,115101622,84851622,1995-10-20,Fall,105,6.4,305
1710,Copycat,,,,,1995-10-27,Fall,124,6.5,199
9691,Assassins,1172.0,50000000,30303072,-19696928,1995-10-06,Fall,132,6.0,394
12665,Powder,,,,,1995-10-27,Fall,111,6.3,143
451,Leaving Las Vegas,5839.0,3600000,49800000,46200000,1995-10-27,Fall,112,7.1,365
16420,Othello,,,,,1995-12-15,Winter,123,7.0,33
9263,Now and Then,3846.0,12000000,27400000,15400000,1995-10-20,Fall,100,6.6,91
17015,Persuasion,,,,,1995-09-27,Fall,104,7.4,36
902,The City of Lost Children,3027.0,18000000,1738611,-16261389,1995-05-16,Spring,108,7.6,308
37557,Shanghai Triad,,,,,1995-04-30,Spring,108,6.5,17
9909,Dangerous Minds,,,180000000,,1995-08-11,Summer,99,6.4,249
63,Twelve Monkeys,2020.0,29500000,168840000,139340000,1995-12-29,Winter,129,7.4,2470
78802,Wings of Courage,,,,,1996-09-18,Fall,50,6.8,4
9598,Babe,2019.0,30000000,254134910,224134910,1995-07-18,Summer,89,6.0,756
47018,Carrington,,,,,1995-11-08,Fall,121,6.4,16
687,Dead Man Walking,3949.0,11000000,39363635,28363635,1995-12-29,Winter,122,7.3,350
139405,Across the Sea of Time,,,,,1995-10-20,Fall,51,3.5,2
33689,It Takes Two,,,,,1995-11-17,Fall,101,6.1,149
9603,Clueless,3846.0,12000000,,,1995-07-19,Summer,97,6.9,828
34615,"Cry, the Beloved Country",,,676525,,1995-12-15,Winter,106,6.7,13
31174,Richard III,,,,,1995-12-29,Winter,104,6.9,50
11443,Dead Presidents,4241.0,10000000,,,1995-10-06,Fall,119,6.6,80
35196,Restoration,2913.0,19000000,,,1995-12-29,Winter,117,6.3,30
9312,Mortal Kombat,3027.0,18000000,122195920,104195920,1995-08-18,Summer,101,5.4,452
577,To Die For,2847.0,20000000,21284514,1284514,1995-05-20,Spring,106,6.7,177
11861,How To Make An American Quilt,4241.0,10000000,23574130,13574130,1995-10-06,Fall,116,6.5,38
807,Se7en,1760.0,33000000,327311859,294311859,1995-09-22,Fall,127,8.1,5915
10530,Pocahontas,1010.0,55000000,346079773,291079773,1995-06-14,Summer,81,6.7,1509
8391,When Night Is Falling,,,,,1995-05-05,Spring,96,5.9,10
629,The Usual Suspects,5081.0,6000000,23341568,17341568,1995-07-19,Summer,106,8.1,3334
117164,Guardian Angel,,,,,1994-11-22,Fall,93,6.3,3
11448,Mighty Aphrodite,3435.0,15000000,6700000,-8300000,1995-09-13,Fall,95,6.7,145
49133,Lamerica,,,,,1994-01-01,Winter,116,7.7,11
26441,The Big Green,,,,,1995-09-29,Fall,100,5.2,41
97406,Georgia,,,,,1995-05-19,Spring,115,6.1,15
124057,Kids of the Round Table,,,,,1997-07-08,Summer,89,3.0,1
9089,Home for the Holidays,,,17519169,,1995-11-02,Fall,103,6.3,39
11010,The Postman,,,,,1994-09-22,Fall,108,7.6,181
99040,The Confessional,,,,,1995-09-29,Fall,100,6.5,2
11359,The Indian in the Cupboard,1286.0,45000000,,,1995-07-14,Summer,96,5.9,136
17182,Eye for an Eye,2847.0,20000000,,,1996-01-12,Winter,101,5.8,65
2054,Mr. Holland's Opus,,,106269971,,1995-12-29,Winter,137,6.9,115
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,,,,,1996-01-12,Winter,89,6.2,192
19760,Two If by Sea,,,,,1996-01-12,Winter,96,4.5,14
9536,Bio-Dome,3435.0,15000000,,,1996-01-12,Winter,88,4.4,110
11525,Lawnmower Man 2: Beyond Cyberspace,,,2409225,,1996-01-12,Winter,92,2.8,32
40628,Two Bits,,,,,1995-10-22,Fall,85,5.4,11
4482,French Twist,,,,,1995-02-08,Winter,95,6.0,43
10634,Friday,5949.0,3500000,28215918,24715918,1995-04-26,Spring,91,7.0,513
755,From Dusk Till Dawn,2913.0,19000000,25836616,6836616,1996-01-19,Winter,108,6.9,1644
11859,Fair Game,1172.0,50000000,11534477,-38465523,1995-11-03,Fall,91,4.1,54
28387,Kicking and Screaming,,,718490,,1995-10-06,Fall,96,7.0,36
48750,Les Miserables,,,,,1995-03-22,Spring,175,6.6,8
20927,Bed of Roses,,,19030691,,1996-01-26,Winter,87,5.1,27
36929,Big Bully,3435.0,15000000,2042530,-12957470,1996-01-26,Winter,90,3.9,16
9102,Screamers,2847.0,20000000,5781885,-14218115,1995-09-08,Fall,108,6.1,154
124626,Nico Icon,,,,,1995-02-18,Winter,70,7.3,3
27526,The Crossing Guard,,,,,1995-11-15,Fall,111,6.1,74
9623,The Juror,1299.0,44000000,,,1996-02-02,Winter,118,5.5,91
46785,The White Balloon,,,,,1995-01-01,Winter,85,7.5,20
400,Things to Do in Denver When You're Dead,4589.0,8000000,529766,-7470234,1995-12-01,Winter,116,6.7,87
880,Antonia's Line,7452.0,900000,,,1995-09-12,Fall,102,7.2,26
146599,Once Upon a Time... When We Were Colored,,,,,1996-01-26,Winter,115,4.5,2
188588,Last Summer in the Hamptons,,,,,1995-11-22,Fall,108,,
8447,Angels and Insects,,,,,1995-09-10,Fall,118,6.3,17
10534,White Squall,1544.0,38000000,10300000,-27700000,1996-02-02,Winter,129,6.3,86
17414,Dunston Checks In,3199.0,16000000,,,1996-01-12,Winter,88,5.1,59
13997,Black Sheep,,,,,1996-02-01,Winter,87,6.0,124
2086,Nick of Time,4431.0,8169363,8175346,5983,1995-11-22,Fall,90,6.1,190
61548,The Journey of August King,,,,,1995-09-14,Fall,91,6.7,3
9095,Mary Reilly,1209.0,47000000,12379402,-34620598,1996-02-23,Winter,104,5.7,77
12158,Vampire in Brooklyn,3526.0,14000000,19800000,5800000,1995-10-26,Fall,100,4.5,113
9283,Beautiful Girls,,,,,1996-02-09,Winter,112,6.6,103
9208,Broken Arrow,1172.0,50000000,150270147,100270147,1996-02-09,Winter,108,5.7,459
40154,A Midwinter's Tale,,,,,1995-12-01,Winter,99,7.5,6
406,La Haine,6230.0,3000000,,,1995-05-31,Spring,98,7.9,695
45549,Shopping,,,,,1994-12-06,Winter,105,5.6,13
63076,Heidi Fleiss: Hollywood Madam,,,,,1995-12-27,Winter,106,6.8,4
11062,City Hall,,,,,1996-02-16,Winter,111,6.0,67
13685,Bottle Rocket,4801.0,7000000,560069,-6439931,1996-02-21,Winter,91,6.8,285
47475,Mr. Wrong,,,,,1996-02-16,Winter,96,3.3,16
2045,Unforgettable,3027.0,18000000,,,1996-02-23,Winter,106,5.3,22
9614,Happy Gilmore,3846.0,12000000,41205099,29205099,1996-02-16,Winter,92,6.5,767
688,The Bridges of Madison County,2442.0,24000000,182016617,158016617,1995-05-28,Spring,135,7.3,397
11907,Nobody Loves Me,,,,,1994-11-07,Fall,104,5.1,5
10874,Muppet Treasure Island,,,34327391,,1996-02-16,Winter,100,6.5,93
89333,Catwalk,,,,,1995-12-08,Winter,95,7.0,2
96357,Headless Body in Topless Bar,,,,,1995-05-20,Spring,110,,
197,Braveheart,655.0,72000000,210000000,138000000,1995-05-24,Spring,177,7.7,3404
103,Taxi Driver,7079.0,1300000,28262574,26962574,1976-02-07,Winter,114,8.1,2632
33542,Rumble in the Bronx,4642.0,7500000,32392047,24892047,1995-01-30,Winter,91,6.5,245
43566,Before and After,1725.0,35000000,,,1996-02-23,Winter,108,5.8,37
71754,Margaret's Museum,,,,,1995-09-13,Fall,114,7.5,2
43612,Happiness Is in the Field,3539.0,13365000,,,1995-01-31,Winter,106,7.0,23
51352,Anne Frank Remembered,,,,,1995-06-08,Summer,117,7.3,4
16934,The Young Poisoner's Handbook,,,,,1995-01-20,Winter,99,6.9,19
10324,If Lucy Fell,,,,,1996-03-08,Spring,92,5.4,11
78406,Steal Big Steal Little,2395.0,25000000,6278139,-18721861,1995-09-29,Fall,113,5.1,7
55731,Race the Sun,,,,,1996-03-22,Spring,100,5.2,21
32119,The Boys of St. Vincent,,,,,1992-12-06,Winter,90,7.0,7
11066,Boomerang,1502.0,40000000,70100000,30100000,1992-06-30,Summer,117,5.4,139
11104,Chungking Express,,,,,1994-07-14,Summer,102,7.9,249
37975,The Star Maker,,,,,1995-09-21,Fall,113,6.8,29
2074,Flirting with Disaster,4801.0,7000000,14702438,7702438,1996-03-22,Spring,92,6.3,66
27793,The Neverending Story III: Escape from Fantasia,3109.0,17000000,,,1994-10-26,Fall,95,4.4,105
44284,The Silences of the Palace,,,,,1994-09-30,Fall,116,4.3,3
290157,Jupiter's Wife,,,,,1995-01-01,Winter,87,,
110972,Pie in the Sky,,,,,1996-02-09,Winter,95,7.0,2
32622,Angela,,,,,1995-01-01,Winter,99,5.6,9
73067,Frankie Starlight,,,,,1995-11-22,Fall,101,5.4,4
11863,Jade,1172.0,50000000,9851610,-40148390,1995-10-13,Fall,95,5.1,45
55475,Nueba Yol,,,,,1995-08-16,Summer,102,5.5,1
124636,Sonic Outlaws,,,,,1995-08-01,Summer,87,,
9101,Down Periscope,,,,,1996-03-01,Spring,92,5.6,110
123360,From the Journals of Jean Seberg,,,,,1995-09-08,Fall,97,6.5,2
5757,Man of the Year,,,209935,,1995-09-15,Fall,86,3.8,2
39428,The Neon Bible,,,,,1995-08-23,Summer,91,7.2,5
124639,Target,,,,,1995-08-01,Summer,122,,
9302,Up Close & Personal,930.0,60000000,,,1996-03-01,Spring,119,5.9,51
11000,The Birdcage,1829.0,31000000,185260553,154260553,1996-03-08,Spring,117,6.7,303
249882,Virgin Mary,,,,,1995-10-12,Fall,125,7.0,2
16388,The Brothers McMullen,,,,,1995-08-09,Summer,98,6.3,23
9737,Bad Boys,2913.0,19000000,141407024,122407024,1995-04-07,Spring,118,6.5,1729
30765,The Amazing Panda Adventure,,,,,1995-08-25,Summer,81,5.0,31
10474,The Basketball Diaries,,,,,1995-04-21,Spring,102,7.2,472
22279,An Awfully Big Adventure,5773.0,4000000,851545,-3148455,1995-07-21,Summer,113,6.0,11
30157,Amateur,,,,,1994-08-05,Summer,105,6.5,21
568,Apollo 13,1042.0,52000000,355237933,303237933,1995-06-30,Summer,140,7.3,1637
11780,Rob Roy,2091.0,28000000,31596911,3596911,1995-04-13,Spring,139,6.5,151
34996,The Addiction,,,,,1995-01-10,Winter,82,6.4,46
414,Batman Forever,381.0,100000000,336529144,236529144,1995-06-16,Summer,121,5.2,1529
649,Belle de Jour,,,,,1967-05-24,Spring,101,7.3,163
1873,Beyond Rangoon,,,,,1995-05-24,Spring,100,6.4,21
5894,Blue in the Face,6758.0,2000000,1275000,-725000,1995-09-15,Fall,83,6.8,28
1775,Canadian Bacon,3949.0,11000000,178104,-10821896,1995-06-08,Summer,91,5.9,57
8839,Casper,1172.0,50000000,287928194,237928194,1995-05-26,Spring,100,6.0,1045
20649,Clockers,2395.0,25000000,13071518,-11928482,1995-09-15,Fall,128,6.8,69
10329,Congo,1172.0,50000000,152022101,102022101,1995-06-09,Summer,109,5.0,214
8963,Crimson Tide,1029.0,53000000,157387195,104387195,1995-05-12,Spring,116,7.0,508
26564,Crumb,,,3174695,,1994-09-10,Fall,119,7.6,71
8068,Desperado,4801.0,7000000,25405445,18405445,1995-08-25,Summer,104,6.8,898
8512,Devil in a Blue Dress,2136.0,27000000,16140822,-10859178,1995-09-15,Fall,102,6.3,88
1572,Die Hard: With a Vengeance,450.0,90000000,366101666,276101666,1995-05-19,Spring,128,6.9,2094
13552,The Doom Generation,,,,,1995-10-27,Fall,80,5.6,57
259209,Feast of July,,,,,1995-10-12,Fall,116,,
6520,First Knight,1010.0,55000000,127600435,72600435,1995-07-07,Summer,134,5.9,319
9073,Free Willy 2 - The Adventure Home,,,,,1995-07-19,Summer,95,5.5,130
10428,Hackers,2847.0,20000000,7563728,-12436272,1995-09-14,Fall,107,6.2,406
17447,Jeffrey,,,,,1995-08-18,Summer,92,6.5,19
9886,Johnny Mnemonic,2395.0,25000000,19075720,-5924280,1995-05-26,Spring,97,5.5,380
9482,Judge Dredd,450.0,90000000,113493481,23493481,1995-06-30,Summer,96,5.4,643
19326,Jury Duty,,,17014653,,1995-04-12,Spring,88,4.0,34
9344,Kids,7008.0,1500000,7412216,5912216,1995-07-28,Summer,91,6.8,280
9071,Living in Oblivion,7847.0,500000,1148752,648752,1995-01-20,Winter,89,7.2,64
8973,Lord of Illusions,,,,,1995-08-25,Summer,119,5.9,87
15730,Love & Human Remains,,,,,1993-05-20,Spring,100,7.0,7
47608,Mad Love,,,15453274,,1995-05-26,Spring,95,5.5,27
2293,Mallrats,5081.0,6000000,2122561,-3877439,1995-10-20,Fall,94,6.8,400
9070,Mighty Morphin Power Rangers: The Movie,3435.0,15000000,66000000,51000000,1995-06-30,Summer,92,5.2,153
68274,Moonlight and Valentino,,,,,1995-09-29,Fall,100,5.6,10
48787,Mute Witness,,,,,1995-09-28,Fall,95,6.4,36
34574,Nadja,,,,,1994-09-13,Fall,93,5.9,12
1642,The Net,2565.0,22000000,110627965,88627965,1995-07-28,Summer,114,5.6,359
11472,Nine Months,,,69660733,,1995-07-12,Summer,103,5.5,171
36196,Party Girl,8239.0,150000,472370,322370,1995-06-09,Summer,94,5.8,14
11980,The Prophecy,,,,,1995-09-01,Fall,98,6.4,139
58372,Reckless,,,,,1995-11-17,Fall,91,10.0,1
32646,Safe,,,,,1995-06-23,Summer,119,7.2,62
10533,The Scarlet Letter,1172.0,50000000,10382407,-39617593,1995-10-13,Fall,135,5.5,111
56088,The Show,,,,,1995-08-25,Summer,93,5.3,2
10802,Showgirls,1286.0,45000000,20350754,-24649246,1995-09-22,Fall,128,4.9,261
10149,Smoke,4801.0,7000000,8349430,1349430,1995-06-09,Summer,112,7.2,115
18402,Something to Talk About,,,50892160,,1995-08-04,Summer,106,5.7,60
9348,Species,1725.0,35000000,113374103,78374103,1995-07-07,Summer,108,5.5,457
139408,The Stars Fell on Henrietta,,,,,1995-09-15,Fall,109,6.6,6
281,Strange Days,1329.0,42000000,7959291,-34040709,1995-10-13,Fall,145,6.8,334
5967,The Umbrellas of Cherbourg,,,,,1964-02-19,Winter,91,7.6,119
79593,The Tie That Binds,3526.0,14000000,5780000,-8220000,1995-09-08,Fall,99,4.6,9
47939,Three Wishes,,,7025496,,1995-10-27,Fall,115,6.1,18
36834,Total Eclipse,,,339889,,1995-11-02,Fall,111,6.5,112
9090,"To Wong Foo, Thanks for Everything! Julie Newmar",,,47774193,,1995-09-07,Fall,105,6.3,117
3512,Under Siege 2: Dark Territory,930.0,60000000,104324083,44324083,1995-07-13,Summer,100,5.6,217
52856,Unstrung Heroes,,,,,1995-09-15,Fall,93,6.4,9
77350,Unzipped,,,,,1995-08-11,Summer,73,6.0,6
9560,A Walk in the Clouds,2847.0,20000000,50012507,30012507,1995-08-11,Summer,103,6.5,168
9804,Waterworld,89.0,175000000,264218220,89218220,1995-07-28,Summer,135,5.9,1017
31611,White Man's Burden,4589.0,8000000,,,1995-12-01,Winter,89,5.1,25
65796,Wild Bill,2019.0,30000000,,,1995-12-01,Winter,98,5.9,27
49805,The Browning Version,,,,,1994-10-12,Fall,97,6.0,11
26258,Bushwhacked,,,,,1995-08-04,Summer,90,4.9,29
50797,Burnt by the Sun,6267.0,2800000,2616503,-183497,1994-05-01,Spring,135,6.7,35
19155,Before the Rain,,,763847,,1994-06-09,Summer,113,7.7,45
76,Before Sunrise,6416.0,2500000,5535405,3035405,1995-01-27,Winter,105,7.7,984
11017,Billy Madison,4241.0,10000000,26488734,16488734,1995-02-10,Winter,89,6.2,464
37141,The Babysitter,,,,,1995-10-17,Fall,90,4.7,27
9382,Boys on the Side,2601.0,21000000,23450000,2450000,1995-02-03,Winter,115,6.3,48
6715,The Cure,,,,,1995-04-21,Spring,97,7.2,58
18256,Castle Freak,,,,,1995-08-04,Summer,95,5.8,40
22625,Circle of Friends,,,,,1995-03-16,Spring,103,6.5,30
2292,Clerks,8493.0,27000,3151130,3124130,1994-09-13,Fall,92,7.4,769
1909,Don Juan DeMarco,2395.0,25000000,22200000,-2800000,1994-10-01,Fall,97,6.3,184
8984,Disclosure,1010.0,55000000,214015089,159015089,1994-12-09,Winter,123,5.9,217
61813,Dream Man,,,,,1995-01-01,Winter,,2.5,1
4954,Drop Zone,1286.0,45000000,,,1994-12-08,Winter,101,5.1,91
62488,Destiny Turns on the Radio,,,,,1995-04-28,Spring,,5.3,9
10531,Death and the Maiden,,,,,1994-05-04,Spring,103,7.1,92
11929,Dolores Claiborne,,,,,1995-03-24,Spring,132,7.1,183
8467,Dumb and Dumber,3199.0,16000000,247275374,231275374,1994-12-16,Winter,107,6.5,1894
10451,Eat Drink Man Woman,,,7294403,,1994-08-03,Summer,123,7.5,76
20156,Exotica,,,,,1994-09-24,Fall,103,6.5,64
18395,Exit to Eden,,,6841570,,1994-10-14,Fall,113,4.3,28
522,Ed Wood,3027.0,18000000,5887457,-12112543,1994-09-27,Fall,127,7.3,639
397,French Kiss,,,,,1995-05-05,Spring,111,6.2,179
10525,Forget Paris,,,,,1995-05-19,Spring,101,6.1,38
27985,Far from Home: The Adventures of Yellow Dog,,,,,1995-01-13,Winter,87,5.6,27
15789,A Goofy Movie,,,35348597,,1995-04-07,Spring,78,6.7,404
27303,Hideaway,3435.0,15000000,12201255,-2798745,1995-03-03,Spring,103,5.0,24
21183,Fluke,,,,,1995-06-02,Summer,96,6.6,48
10954,Farinelli,,,,,1994-12-07,Winter,111,5.9,20
47867,Gordy,,,3992809,,1995-05-12,Spring,90,3.0,4
43475,Gumby: The Movie,,,,,1995-12-01,Winter,77,5.0,2
72031,The Glass Shield,,,,,1994-09-16,Fall,109,5.4,9
14275,Hoop Dreams,7620.0,700000,7830611,7130611,1994-09-12,Fall,171,7.7,91
1024,Heavenly Creatures,5452.0,5000000,3049135,-1950865,1994-09-02,Fall,99,6.9,299
17207,Houseguest,3974.0,10500000,26325256,15825256,1995-01-06,Winter,113,6.0,17
13701,Immortal Beloved,,,,,1994-12-16,Winter,121,6.9,90
14819,Heavyweights,,,17689177,,1995-02-17,Winter,100,6.0,97
32631,The Hunted,,,,,1995-02-24,Winter,106,6.0,25
11777,I.Q.,2395.0,25000000,,,1994-12-24,Winter,100,5.9,112
628,Interview with the Vampire,930.0,60000000,223664608,163664608,1994-11-11,Fall,123,7.2,1558
87729,Jefferson in Paris,3526.0,14000000,2474000,-11526000,1995-03-31,Spring,139,5.2,10
18713,The Jerky Boys,,,,,1995-02-03,Winter,82,4.8,10
6280,Junior,930.0,60000000,37000000,-23000000,1994-11-22,Fall,109,4.7,381
9061,Just Cause,,,,,1995-02-17,Winter,102,6.0,124
37108,A Kid in King Arthur's Court,,,,,1995-08-11,Summer,89,4.3,40
6071,Kiss of Death,1502.0,40000000,,,1995-04-21,Spring,101,5.7,83
11,Star Wars,3949.0,11000000,775398007,764398007,1977-05-25,Spring,121,8.1,6778
9587,Little Women,3027.0,18000000,,,1994-12-21,Winter,115,7.0,222
19101,A Little Princess,3109.0,17000000,,,1995-05-10,Spring,97,7.4,207
49980,Ladybird Ladybird,,,,,1994-02-18,Winter,101,7.4,14
17961,L'Enfer,4241.0,10000000,,,1994-02-16,Winter,100,6.6,22
18183,Like Water for Chocolate,6758.0,2000000,21665468,19665468,1992-04-16,Spring,105,6.6,70
4476,Legends of the Fall,2019.0,30000000,160638883,130638883,1994-12-16,Winter,133,7.2,636
11008,Major Payne,,,,,1995-03-24,Spring,95,6.1,164
47504,Little Odessa,,,,,1994-10-27,Fall,98,6.4,31
32325,Mi Vida Loca,,,,,1994-06-08,Summer,92,5.7,9
43742,Love Affair,930.0,60000000,,,1994-10-21,Fall,108,4.3,11
28313,Losing Isaiah,3109.0,17000000,7603766,-9396234,1995-03-17,Spring,106,6.4,28
11318,The Madness of King George,,,,,1994-12-28,Winter,107,6.7,67
3036,Mary Shelley's Frankenstein,1286.0,45000000,112006296,67006296,1994-11-04,Fall,123,6.1,272
