movie_id,index,year,oscars_held,category,name,film_title,character_name,honorary_statement,description,note,act_dir,winner_type
11860,615.0,1954,27.0,COSTUME DESIGN (Black-and-White),Edith Head,Sabrina,,,,,False,Single Winner
4584,1803.0,1995,68.0,WRITING (Screenplay Based on Material Previously Produced or Published),Emma Thompson,Sense and Sensibility,,,,,False,Single Winner
451,1776.0,1995,68.0,ACTOR IN A LEADING ROLE,Nicolas Cage,Leaving Las Vegas,Ben Sanderson,,,,True,Single Winner
9598,1802.0,1995,68.0,VISUAL EFFECTS,"Scott E. Anderson, Charles Gibson, Neal Scanlan, John Cox",Babe,,,,,False,Single Winner
687,1778.0,1995,68.0,ACTRESS IN A LEADING ROLE,Susan Sarandon,Dead Man Walking,Sister Helen Prejean,,,,True,Single Winner
35196,1780.0,1995,68.0,ART DIRECTION,Eugenio Zanetti,Restoration,,,,,True,Single Winner
35196,1783.0,1995,68.0,COSTUME DESIGN,James Acheson,Restoration,,,,,False,Single Winner
10530,1793.0,1995,68.0,MUSIC (Original Musical or Comedy Score),Music by Alan Menken; Lyrics by Stephen Schwartz; Orchestral Score by Alan Menken,Pocahontas,,,,,False,Single Winner
10530,1794.0,1995,68.0,MUSIC (Original Song),Music by Alan Menken; Lyric by Stephen Schwartz,Pocahontas,,,,,False,Single Winner
629,1777.0,1995,68.0,ACTOR IN A SUPPORTING ROLE,Kevin Spacey,The Usual Suspects,Roger 'Verbal' Kint,,,,True,Single Winner
629,1804.0,1995,68.0,WRITING (Screenplay Written Directly for the Screen),Christopher McQuarrie,The Usual Suspects,,,,,True,Single Winner
11448,1779.0,1995,68.0,ACTRESS IN A SUPPORTING ROLE,Mira Sorvino,Mighty Aphrodite,Linda,,,,True,Single Winner
880,1788.0,1995,68.0,FOREIGN LANGUAGE FILM,The Netherlands,Antonia's Line,,,,,False,Single Winner
197,1781.0,1995,68.0,BEST PICTURE,"Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers",Braveheart,,,,,False,Single Winner
197,1782.0,1995,68.0,CINEMATOGRAPHY,John Toll,Braveheart,,,,,False,Single Winner
197,1784.0,1995,68.0,DIRECTING,Mel Gibson,Braveheart,,,,,True,Single Winner
197,1791.0,1995,68.0,MAKEUP,"Peter Frampton, Paul Pattison, Lois Burwell",Braveheart,,,,,False,Single Winner
197,1800.0,1995,68.0,SOUND EFFECTS EDITING,"Lon Bender, Per Hallberg",Braveheart,,,,,False,Single Winner
51352,1785.0,1995,68.0,DOCUMENTARY (Feature),Jon Blair,Anne Frank Remembered,,,,,False,Single Winner
568,1787.0,1995,68.0,FILM EDITING,"Mike Hill, Dan Hanley",Apollo 13,,,,,False,Single Winner
568,1799.0,1995,68.0,SOUND,"Rick Dior, Steve Pederson, Scott Millan, David MacMillan",Apollo 13,,,,,False,Single Winner
50797,1757.0,1994,67.0,FOREIGN LANGUAGE FILM,Russia,Burnt by the Sun,,,,,False,Single Winner
522,1746.0,1994,67.0,ACTOR IN A SUPPORTING ROLE,Martin Landau,Ed Wood,Bela Lugosi,,,,True,Single Winner
522,1761.0,1994,67.0,MAKEUP,"Rick Baker, Ve Neill, Yolanda Toussieng",Ed Wood,,,,,False,Single Winner
11,1253.0,1977,50.0,ART DIRECTION,"Art Direction:  John Barry, Norman Reynolds, Leslie Dilley;  Set Decoration:  Roger Christian",Star Wars,,,,,True,Single Winner
11,1256.0,1977,50.0,COSTUME DESIGN,John Mollo,Star Wars,,,,,False,Single Winner
11,1260.0,1977,50.0,FILM EDITING,"Paul Hirsch, Marcia Lucas, Richard Chew",Star Wars,,,,,False,Single Winner
11,1266.0,1977,50.0,MUSIC (Original Score),John Williams,Star Wars,,,,,False,Single Winner
11,1274.0,1977,50.0,SOUND,"Don MacDougall, Ray West, Bob Minkler, Derek Ball",Star Wars,,,,,False,Single Winner
11,1277.0,1977,50.0,VISUAL EFFECTS,"John Stears, John Dykstra, Richard Edlund, Grant McCune, Robert Blalack",Star Wars,,,,,False,Single Winner
9587,70.0,1932/33,6.0,WRITING (Adaptation),"Victor Heerman, Sarah Y. Mason",Little Women,,,,,False,Single Winner
9587,456.0,1949,22.0,ART DIRECTION (Color),"Art Direction:  Cedric Gibbons, Paul Groesse;  Set Decoration:  Edwin B. Willis, Jack D. Moore",Little Women,,,,,True,Single Winner
4476,1751.0,1994,67.0,CINEMATOGRAPHY,John Toll,Legends of the Fall,,,,,False,Single Winner
11318,1749.0,1994,67.0,ART DIRECTION,Art Direction:  Ken Adam;  Set Decoration:  Carolyn Scott,The Madness of King George,,,,,True,Single Winner
10510,395.0,1947,20.0,ACTOR IN A SUPPORTING ROLE,Edmund Gwenn,Miracle on 34th Street,Kris Kringle,,,,True,Single Winner
10510,418.0,1947,20.0,WRITING (Motion Picture Story),Valentine Davies,Miracle on 34th Street,,,,,False,Single Winner
10510,420.0,1947,20.0,WRITING (Screenplay),George Seaton,Miracle on 34th Street,,,,,False,Single Winner
680,1775.0,1994,67.0,WRITING (Screenplay Written Directly for the Screen),Screenplay by Quentin Tarantino;  Stories by Quentin Tarantino & Roger Avary,Pulp Fiction,,,,,True,Single Winner
2759,1752.0,1994,67.0,COSTUME DESIGN,"Lizzy Gardiner, Tim Chappel","The Adventures of Priscilla, Queen of the Desert",,,,,False,Single Winner
13,1745.0,1994,67.0,ACTOR IN A LEADING ROLE,Tom Hanks,Forrest Gump,Forrest Gump,,,,True,Single Winner
13,1750.0,1994,67.0,BEST PICTURE,"Wendy Finerman, Steve Tisch and Steve Starkey, Producers",Forrest Gump,,,,,False,Single Winner
13,1753.0,1994,67.0,DIRECTING,Robert Zemeckis,Forrest Gump,,,,,True,Single Winner
13,1756.0,1994,67.0,FILM EDITING,Arthur Schmidt,Forrest Gump,,,,,False,Single Winner
