Revenue Rank,Profit Rank,Title,Budget,Gross Revenue,R:B Ratio,Gross Profit,Year
1,1,Avatar,237000000,2923706026,12.34,2686706026,2009
2,2,Titanic,200000000,2264743257,11.32,2064743257,1997
3,3,Star Wars: Episode VII - The Force Awakens,245000000,2071310218,8.45,1826310218,2015
4,4,Jurassic World,150000000,1671537444,11.14,1521537444,2015
5,6,The Avengers,220000000,1520538536,6.91,1300538536,2012
6,5,Furious 7,190000000,1515341399,7.98,1325341399,2015
7,7,Avengers: Age of Ultron,250000000,1405018048,5.62,1155018048,2015
8,,Harry Potter and the Deathly Hallows: Part 2,,1342359942,,,2011
9,13,Star Wars: Episode VIII - The Last Jedi,317000000,1334407706,4.21,1017407706,2017
10,8,Frozen,150000000,1284540518,8.56,1134540518,2013
11,9,Beauty and the Beast (2017),160000000,1266115964,7.91,1106115964,2017
12,15,The Fate of the Furious,250000000,1236005118,4.94,986005118,2017
13,14,Iron Man 3,200000000,1215577205,6.08,1015577205,2013
14,10,Minions,74000000,1159444662,15.67,1085444662,2015
15,22,Captain America: Civil War,250000000,1155046416,4.62,905046416,2016
16,11,The Lord of the Rings: The Return of the King,94000000,1147633833,12.21,1053633833,2003
17,17,Skyfall,200000000,1142471295,5.71,942471295,2012
18,18,Transformers: Dark of the Moon,195000000,1123794079,5.76,928794079,2011
19,12,Jurassic Park,63000000,1109802321,17.62,1046802321,1993
20,25,Transformers: Age of Extinction,210000000,1104054072,5.26,894054072,2014
21,32,The Dark Knight Rises,250000000,1081169825,4.32,831169825,2012
22,26,Toy Story 3,200000000,1067316101,5.34,867316101,2010
23,30,Pirates of the Caribbean: Dead Man's Chest,225000000,1066179747,4.74,841179747,2006
24,27,Rogue One: A Star Wars Story,200000000,1058682142,5.29,858682142,2016
25,38,Pirates of the Caribbean: On Stranger Tides,250000000,1046721266,4.19,796721266,2011
26,16,Despicable Me 3,80000000,1034800131,12.94,954800131,2017
27,,Finding Dory,,1029266989,,,2016
28,20,Star Wars: Episode I - The Phantom Menace,115000000,1027082707,8.93,912082707,1999
29,,Zootopia,,1025521689,,,2016
30,34,Alice in Wonderland,200000000,1025468216,5.13,825468216,2010
31,23,Harry Potter and the Sorcerer's Stone,125000000,1023842938,8.19,898842938,2001
32,,The Hobbit: An Unexpected Journey,,1017030651,,,2012
33,35,The Dark Knight,185000000,1006234167,5.44,821234167,2008
34,21,Jumanji: Welcome to the Jungle,90000000,995339117,11.06,905339117,2017
35,,Harry Potter and the Deathly Hallows: Part 1,,977070383,,,2010
36,24,Despicable Me 2,76000000,970766005,12.77,894766005,2013
37,19,The Lion King,45000000,968511805,21.52,923511805,1994
38,40,The Jungle Book (2016),175000000,967724775,5.53,792724775,2016
39,,The Hobbit: The Battle of the Five Armies,,962201338,,,2014
40,62,Pirates of the Caribbean: At World's End,300000000,961691209,3.21,661691209,2007
41,,The Hobbit: The Desolation of Smaug,,959027992,,,2013
42,28,The Lord of the Rings: The Two Towers,94000000,947944270,10.08,853944270,2002
43,41,Harry Potter and the Order of the Phoenix,150000000,942278045,6.28,792278045,2007
44,29,Finding Nemo,94000000,941637960,10.02,847637960,2003
45,55,Harry Potter and the Half-Blood Prince,250000000,934519387,3.74,684519387,2009
46,44,Shrek 2,150000000,928760770,6.19,778760770,2004
47,33,Harry Potter and the Chamber of Secrets,100000000,925668380,9.26,825668380,2002
48,37,The Lord of the Rings: The Fellowship of the Ring,93000000,898204420,9.66,805204420,2001
49,47,Harry Potter and the Goblet of Fire,150000000,896815106,5.98,746815106,2005
50,67,Spider-Man 3,258000000,894983373,3.47,636983373,2007
51,36,The Secret Life of Pets,75000000,894328469,11.92,819328469,2016
52,39,Ice Age: Dawn of the Dinosaurs,90000000,886686817,9.85,796686817,2009
53,69,Spectre,245000000,880705312,3.59,635705312,2015
54,53,Spider-Man: Homecoming,175000000,880166924,5.03,705166924,2017
55,43,Ice Age: Continental Drift,95000000,877244782,9.23,782244782,2012
56,76,Batman v Superman: Dawn of Justice,250000000,873637528,3.49,623637528,2016
57,31,Wolf Warrior 2,30100000,870325439,28.91,840225439,2017
58,52,Inception,160000000,870110523,5.44,710110523,2010
59,46,Star Wars: Episode III - Revenge of the Sith,113000000,868390560,7.68,755390560,2005
60,49,The Hunger Games: Catching Fire,130000000,865011746,6.65,735011746,2013
61,61,Guardians of the Galaxy Vol. 2,200000000,863756051,4.32,663756051,2017
62,56,Inside Out,175000000,858848019,4.91,683848019,2015
63,57,Thor: Ragnarok,180000000,855301806,4.75,675301806,2017
64,50,The Twilight Saga: Breaking Dawn - Part 2,120000000,848593948,7.07,728593948,2012
65,68,Transformers: Revenge of the Fallen,200000000,836303693,4.18,636303693,2009
66,54,Spider-Man,139000000,825025036,5.94,686025036,2002
67,58,Wonder Woman,149000000,822854286,5.52,673854286,2017
68,48,Independence Day,75000000,817400891,10.9,742400891,1996
69,,Coco,,814337054,,,2017
70,71,Fantastic Beasts and Where to Find Them,180000000,814044001,4.52,634044001,2016
71,64,Shrek the Third,160000000,813367380,5.08,653367380,2007
72,59,Harry Potter and the Prisoner of Azkaban,130000000,797660766,6.14,667660766,2004
