award_year,category,name1,name2,name3,film_title,character_name,film_title2,character_name2,film_title3,character_name3,film_title4,character_name4,honorary_statement,description,note
1989 (62nd),DIRECTING,Oliver Stone,,,Born on the Fourth of July,,,,,,,,,,
1957 (30th),MUSIC (Scoring),Malcolm Arnold,,,The Bridge on the River Kwai,,,,,,,,,,
1992 (65th),VISUAL EFFECTS,"Ken Ralston, Doug Chiang, Doug Smythe, Tom Woodruff, Jr.",,,Death Becomes Her,,,,,,,,,,
2001 (74th),SHORT FILM (Live Action),"Ray McKinnon, Lisa Blount",,,the accountant,,,,,,,,,,
2014 (87th),ACTOR IN A SUPPORTING ROLE,J.K. Simmons,,,Whiplash,"{""Fletcher""}",,,,,,,,,
1993 (66th),ACTOR IN A SUPPORTING ROLE,Tommy Lee Jones,,,The Fugitive,"{""Samuel Gerard""}",,,,,,,,,
1976 (49th),ACTRESS IN A LEADING ROLE,Faye Dunaway,,,Network,"{""Diana Christensen""}",,,,,,,,,
1953 (26th),IRVING G. THALBERG MEMORIAL AWARD,George Stevens,,,,,,,,,,,,,
1941 (14th),ACTOR IN A SUPPORTING ROLE,Donald Crisp,,,How Green Was My Valley,"{""Mr. Morgan""}",,,,,,,,,
1959 (32nd),ACTRESS IN A SUPPORTING ROLE,Shelley Winters,,,The Diary of Anne Frank,"{""Mrs. Van Daan""}",,,,,,,,,
2017 (90th),SOUND MIXING,"Gregg Landaker, Gary A. Rizzo and Mark Weingarten",,,Dunkirk,,,,,,,,,,
2009 (82nd),ACTRESS IN A SUPPORTING ROLE,Mo'Nique,,,Precious: Based on the Novel 'Push' by Sapphire,"{""Mary""}",,,,,,,,,
1934 (7th),FILM EDITING,Conrad Nervig,,,Eskimo,,,,,,,,,,
1960 (33rd),FOREIGN LANGUAGE FILM,Sweden,,,The Virgin Spring,,,,,,,,,,
1964 (37th),DOCUMENTARY (Short Subject),"Charles Guggenheim, Producer",,,Nine from Little Rock,,,,,,,,,,
1966 (39th),MUSIC (Song),Music by John Barry; Lyrics by Don Black,,,Born Free,,,,,,,,,,
2012 (85th),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,,,,,,,,,"To J.P. LEWIS, MATT CORDNER and NICKSON FONG for the invention and publication of the Pose Space Deformation technique.",Pose Space Deformation (PSD) introduced the use of novel sparse data interpolation techniques to the task of shape interpolation. The controllability and ease of achieving artistic intent have led to PSD being a foundational technique in the creation of computer-generated characters.,
2015 (88th),ACTOR IN A LEADING ROLE,Leonardo DiCaprio,,,The Revenant,"{""Hugh Glass""}",,,,,,,,,
1973 (46th),MUSIC (Song),Music by Marvin Hamlisch; Lyrics by Alan Bergman and Marilyn Bergman,,,The Way We Were,,,,,,,,,,
1945 (18th),CINEMATOGRAPHY (Color),Leon Shamroy,,,Leave Her to Heaven,,,,,,,,,,
1932/33 (6th),WRITING (Original Story),Robert Lord,,,One Way Passage,,,,,,,,,,
2013 (86th),JOHN A. BONNER MEDAL OF COMMENDATION,,,,,,,,,,,,"To Charles ""Tad"" Marburg in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.",,
1972 (45th),SOUND,"Robert Knudson, David Hildyard",,,Cabaret,,,,,,,,,,
2012 (85th),COSTUME DESIGN,Jacqueline Durran,,,Anna Karenina,,,,,,,,,,
1996 (69th),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),,,,,,,,,,,,"To PERRY KIVOLOWITZ, for the primary design, and DR. GARTH A. DICKIE for the development of the algorithms, for the shape-driven warping and morphing subsystem of the Elastic Reality Special Effects System.",,
