index,year,oscars_held,category,name,film_title,character_name,honorary_statement,description,note,act_dir,winner_type
0,1927/28,1,ACTOR,Emil Jannings,The Last Command,General Dolgorucki [Grand Duke Sergius Alexander],,,,True,Single Winner
1,1927/28,1,ACTRESS,Janet Gaynor,7th Heaven,Diane,,,,True,Single Winner
2,1927/28,1,ART DIRECTION,William Cameron Menzies,The Dove,,,,,True,Single Winner
3,1927/28,1,CINEMATOGRAPHY,Charles Rosher,Sunrise,,,,"For this awards year, awards were presented in the name of the individual and could honor work on one or more films.  Charles Rosher and Karl Struss were both honored for cinematography on this film.  It is considered a single nomination for the film.",False,Multiple Winners
4,1927/28,1,CINEMATOGRAPHY,Karl Struss,Sunrise,,,,"For this awards year, awards were presented in the name of the individual and could honor work on one or more films.  Charles Rosher and Karl Struss were both honored for cinematography on this film.  It is considered a single nomination for the film.",False,Multiple Winners
5,1927/28,1,DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights,,,,,True,Single Winner
6,1927/28,1,DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven,,,,,True,Single Winner
7,1927/28,1,ENGINEERING EFFECTS,Roy Pomeroy,Wings,,,,,False,Single Winner
8,1927/28,1,OUTSTANDING PICTURE,Paramount Famous Lasky,Wings,,,,,False,Single Winner
9,1927/28,1,SPECIAL AWARD,,,,"To Warner Bros., for producing The Jazz Singer, the pioneer outstanding talking picture, which has revolutionized the industry.",,"""The Academy Board of Judges on merit awards for individual achievements in motion picture arts during the year ending August 1, 1928, unanimously decided that your name should be removed from the competitive classes, and that a special first award be conferred upon you for writing, acting, directing and producing The Circus.  The collective accomplishments thus displayed place you in a class by yourself.""  (Letter from the Academy to Mr. Chaplin, dated February 19, 1929.)",False,Single Winner
10,1927/28,1,UNIQUE AND ARTISTIC PICTURE,Fox,Sunrise,,,,,False,Single Winner
11,1927/28,1,WRITING (Adaptation),Benjamin Glazer,7th Heaven,,,,,False,Single Winner
12,1927/28,1,WRITING (Original Story),Ben Hecht,Underworld,,,,,False,Single Winner
13,1927/28,1,WRITING (Title Writing),Joseph Farnham,,,,,This award was not associated with any specific film title.,False,Single Winner
14,1928/29,2,ACTOR,Warner Baxter,In Old Arizona,The Cisco Kid,,,"THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.",True,Single Winner
15,1928/29,2,ACTRESS,Mary Pickford,Coquette,Norma Besant,,,"THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.",True,Single Winner
16,1928/29,2,ART DIRECTION,Cedric Gibbons,The Bridge of San Luis Rey,,,,"The award citation reads 'for 'The Bridge of San Luis Rey' and other pictures.'  THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.",True,Single Winner
17,1928/29,2,CINEMATOGRAPHY,Clyde De Vinna,White Shadows in the South Seas,,,,"THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.",False,Single Winner
18,1928/29,2,DIRECTING,Frank Lloyd,The Divine Lady,,,,"THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.",True,Single Winner
19,1928/29,2,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,The Broadway Melody,,,,"THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.",False,Single Winner
20,1928/29,2,WRITING,Hans Kraly,The Patriot,,,,"THIS IS NOT AN OFFICIAL NOMINATION.  There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.",False,Single Winner
