film_title,oscar_total
Titanic,12
Ben-Hur,11
The Lord of the Rings: The Return of the King,11
West Side Story,10
Gigi,9
The English Patient,9
The Last Emperor,9
Slumdog Millionaire,8
On the Waterfront,8
Gone with the Wind,8
Amadeus,8
My Fair Lady,8
Cabaret,8
From Here to Eternity,8
Gandhi,8
The Sting,7
Dances With Wolves,7
The Best Years of Our Lives,7
Out of Africa,7
Schindler's List,7
Gravity,7
Lawrence of Arabia,7
Going My Way,7
Shakespeare in Love,7
The Bridge on the River Kwai,7
Patton,7
A Place in the Sun,6
Chicago,6
Mrs. Miniver,6
The Godfather Part II,6
La La Land,6
A Man for All Seasons,6
All about Eve,6
The Hurt Locker,6
An American in Paris,6
Forrest Gump,6
Star Wars,6
Mad Max: Fury Road,6
Mary Poppins,5
Hugo,5
How Green Was My Valley,5
The Silence of the Lambs,5
The Bad and the Beautiful,5
Doctor Zhivago,5
Wilson,5
The Sound of Music,5
The Artist,5
The King and I,5
Who's Afraid of Virginia Woolf?,5
Around the World in 80 Days,5
The French Connection,5
Gladiator,5
Saving Private Ryan,5
The Aviator,5
American Beauty,5
The Apartment,5
Raiders of the Lost Ark,5
Terms of Endearment,5
Braveheart,5
In the Heat of the Night,5
Oliver!,5
Kramer vs. Kramer,5
It Happened One Night,5
One Flew over the Cuckoo's Nest,5
The Deer Hunter,5
Cleopatra,5
The Lost Weekend,4
Rain Man,4
Moulin Rouge,4
Life of Pi,4
Butch Cassidy and the Sundance Kid,4
Driving Miss Daisy,4
Tom Jones,4
"Crouching Tiger, Hidden Dragon",4
Traffic,4
Terminator 2: Judgment Day,4
The Matrix,4
Unforgiven,4
Inception,4
The King's Speech,4
Spartacus,4
The Song of Bernadette,4
The Departed,4
Marty,4
Sayonara,4
High Noon,4
Ordinary People,4
No Country for Old Men,4
All the President's Men,4
The Grand Budapest Hotel,4
Hamlet,4
Anthony Adverse,4
King Kong,4
E.T. The Extra-Terrestrial,4
A Streetcar Named Desire,4
Network,4
Chariots of Fire,4
The Informer,4
Fanny & Alexander,4
The Right Stuff,4
The Great Gatsby,4
A Beautiful Mind,4
Barry Lyndon,4
Birdman or (The Unexpected Virtue of Ignorance),4
Annie Hall,4
The Heiress,4
The Lord of the Rings: The Fellowship of the Ring,4
Platoon,4
All That Jazz,4
Million Dollar Baby,4
The Shape of Water,4
The Diary of Anne Frank,3
Bram Stoker's Dracula,3
Cavalcade,3
Yankee Doodle Dandy,3
The Treasure of the Sierra Madre,3
The Bourne Ultimatum,3
Howards End,3
Hud,3
Moonlight,3
Tess,3
Jaws,3
Sunrise,3
Life Is Beautiful,3
Love Is a Many-Splendored Thing,3
Rocky,3
The Rose Tattoo,3
Reds,3
Coming Home,3
Casablanca,3
Cimarron,3
Pan's Labyrinth,3
Elmer Gantry,3
Julia,3
The Curious Case of Benjamin Button,3
On Golden Pond,3
Jurassic Park,3
Avatar,3
Dunkirk,3
The Piano,3
To Kill a Mockingbird,3
How the West Was Won,3
Moonstruck,3
The Killing Fields,3
Brokeback Mountain,3
Crash,3
Sunset Blvd.,3
Memoirs of a Geisha,3
Hannah and Her Sisters,3
Camelot,3
Argo,3
Glory,3
Miracle on 34th Street,3
A Room with a View,3
The Lion in Winter,3
Gentleman's Agreement,3
The Adventures of Robin Hood,3
Who Framed Roger Rabbit,3
Dangerous Liaisons,3
Whiplash,3
"Hello, Dolly!",3
Dallas Buyers Club,3
Midnight Cowboy,3
12 Years a Slave,3
Fiddler on the Roof,3
The Life of Emile Zola,3
Les Misérables,3
The Social Network,3
The Pianist,3
Zorba the Greek,3
The Revenant,3
Up,3
7th Heaven,3
The Thief of Bagdad,3
Dick Tracy,3
Roman Holiday,3
The Story of Louis Pasteur,3
All the King's Men,3
The Godfather,3
The Towering Inferno,3
Grand Prix,3
The Great Ziegfeld,3
Darling,3
The Robe,2
Battleground,2
Black Hawk Down,2
Oklahoma!,2
King Solomon's Mines,2
Samson and Delilah,2
L.A. Confidential,2
Raging Bull,2
A Letter to Three Wives,2
Master and Commander: The Far Side of the World,2
Picnic,2
The Quiet Man,2
Mystic River,2
The Greatest Show on Earth,2
Topsy-Turvy,2
The Country Girl,2
The Lord of the Rings: The Two Towers,2
Frida,2
The Cider House Rules,2
"20,000 Leagues under the Sea",2
Cyrano de Bergerac,2
JFK,2
Good Will Hunting,2
Born on the Fourth of July,2
My Left Foot,2
Romeo and Juliet,2
Z,2
Ryan's Daughter,2
Aliens,2
The Last Picture Show,2
Nicholas and Alexandra,2
Sentinels of Silence,2
Witness,2
The Poseidon Adventure,2
Cocoon,2
The Way We Were,2
The Exorcist,2
A Passage to India,2
Places in the Heart,2
Earthquake,2
The Hindenburg,2
Bound for Glory,2
Tender Mercies,2
Close Encounters of the Third Kind,2
An Officer and a Gentleman,2
Midnight Express,2
Arthur,2
The Empire Strikes Back,2
The Fly,2
Norma Rae,2
Apocalypse Now,2
Fame,2
Melvin and Howard,2
Doctor Dolittle,2
Bonnie and Clyde,2
Somebody Up There Likes Me,2
Guess Who's Coming to Dinner,2
As Good as It Gets,2
Fargo,2
Pocahontas,2
Separate Tables,2
The Defiant Ones,2
Apollo 13,2
The Old Man and the Sea,2
Restoration,2
Room at the Top,2
The Usual Suspects,2
Speed,2
The Lion King,2
Ed Wood,2
Judgment at Nuremberg,2
The Hustler,2
Breakfast at Tiffany's,2
Philadelphia,2
The Miracle Worker,2
The Longest Day,2
Aladdin,2
Federico Fellini's 8-1/2,2
Beauty and the Beast,2
Bugsy,2
Ship of Fools,2
Ghost,2
Fantastic Voyage,2
A Man and a Woman,2
Born Free,2
The Little Mermaid,2
Twelve O'Clock High,2
Three Coins in the Fountain,2
La Vie en Rose,2
A Star Is Born,2
Frozen,2
A Farewell to Arms,2
Manchester by the Sea,2
Stagecoach,2
Bad Girl,2
The Wizard of Oz,2
A Double Life,2
Great Expectations,2
The Dark Knight,2
Black Narcissus,2
Here Comes Mr. Jordan,2
Django Unchained,2
Hacksaw Ridge,2
The Fighter,2
The Champ,2
Phantom of the Opera,2
The Good Earth,2
National Velvet,2
Skyfall,2
Jezebel,2
Spotlight,2
Dreamgirls,2
Little Miss Sunshine,2
You Can't Take It with You,2
One Night of Love,2
Crazy Heart,2
Boys Town,2
Anna and the King of Siam,2
An Inconvenient Truth,2
A Midsummer Night's Dream,2
The Yearling,2
Precious: Based on the Novel 'Push' by Sapphire,2
The Jolson Story,2
Little Women,2
Milk,2
Lincoln,2
Blade Runner 2049,2
In Old Chicago,2
Pinocchio,2
The Naked City,2
Rebecca,2
Gaslight,2
The Red Shoes,2
The Philadelphia Story,2
Coco,2
The Grapes of Wrath,2
"Three Billboards outside Ebbing, Missouri",2
Wings,2
Darkest Hour,2
Sergeant York,2
All Quiet on the Western Front,2
The Big House,2
The Iron Lady,2
Ray,2
There Will Be Blood,2
Toy Story 3,2
Alice in Wonderland,2
Joan of Arc,2
Lost Horizon,2
The Incredibles,2
The Assault,1
The Accused,1
RoboCop,1
The Accidental Tourist,1
"Women--for America, for the World",1
'Round Midnight,1
A Greek Tragedy,1
A Fish Called Wanda,1
Down and Out in America,1
Innerspace,1
Top Gun,1
The Ten-Year Lunch: The Wit and Legend of the Algonquin Round Table,1
Ray's Male Heterosexual Dance Hall,1
Precious Images,1
Blue Jasmine,1
The Man Who Planted Trees,1
Dirty Dancing,1
Harry and the Hendersons,1
Wall Street,1
The Untouchables,1
20 Feet from Stardom,1
Mr. Hublot,1
Babette's Feast,1
The Great Beauty,1
Mississippi Burning,1
The Lady in Number 6: Music Saved My Life,1
Young at Heart,1
Zero Dark Thirty,1
Amour,1
Hotel Terminus: The Life and Times of Klaus Barbie,1
Good Fellas,1
Balance,1
Work Experience,1
The Shore,1
Indiana Jones and the Last Crusade,1
The Fantastic Flying Books of Mr. Morris Lessmore,1
The Abyss,1
Dead Poets Society,1
Reversal of Fortune,1
Misery,1
You Don't Have to Die,1
The Muppets,1
A Separation,1
The Girl with the Dragon Tattoo,1
American Dream,1
Saving Face,1
Days of Waiting,1
Journey of Hope,1
Creature Comforts,1
The Descendants,1
Midnight in Paris,1
Cinema Paradiso,1
The Johnstown Flood,1
Pelle the Conqueror,1
Curfew,1
Beetlejuice,1
The Milagro Beanfield War,1
Paperman,1
Working Girl,1
Tin Toy,1
The Appointments of Dennis Jennings,1
Bird,1
Inocente,1
Searching for Sugar Man,1
Batman,1
Henry V,1
Anna Karenina,1
Brave,1
Common Threads: Stories from the Quilt,1
Silver Linings Playbook,1
Artie Shaw: Time Is All You've Got,1
The Barbarian Invasions,1
Helium,1
A Shocking Accident,1
Just Another Missing Kid,1
If You Love This Planet,1
Suicide Squad,1
The Salesman,1
Volver a Empezar ('To Begin Again'),1
Quest for Fire,1
The White Helmets,1
O.J.: Made in America,1
Victor/Victoria,1
Tango,1
Missing,1
Bear Story,1
Fantastic Beasts and Where to Find Them,1
Zootopia,1
Fences,1
The Year of Living Dangerously,1
The Big Short,1
Ex Machina,1
He Makes Me Feel Like Dancin',1
Flamenco at 5:15,1
Stutterer,1
Yentl,1
Tootsie,1
Sophie's Choice,1
Piper,1
Sing,1
Coal Miner's Daughter,1
Call Me by Your Name,1
The Silent Child,1
From Mao to Mozart: Isaac Stern in China,1
Karl Hess: Toward Liberty,1
Moscow Does Not Believe in Tears,1
Dear Basketball,1
A Fantastic Woman,1
Heaven Is a Traffic Jam on the 405,1
Icarus,1
Phantom Thread,1
The Dollar Bottom,1
"I, Tonya",1
Genocide,1
Close Harmony,1
Mephisto,1
An American Werewolf in London,1
Crac,1
The Jungle Book,1
Arrival,1
Violet,1
Flashdance,1
Sundae in New York,1
The Mission,1
Ida,1
Ran,1
Broken Rainbow,1
Feast,1
Witness to War: Dr. Charlie Clements,1
Selma,1
The Official Story,1
Mask,1
The Hunt for Red October,1
White Nights,1
Anna & Bella,1
Crisis Hotline: Veterans Press 1,1
Boys and Girls,1
Molly's Pilgrim,1
Back to the Future,1
The Color of Money,1
CitizenFour,1
Children of a Lesser God,1
Big Hero 6,1
Boyhood,1
Still Alice,1
The Theory of Everything,1
Her,1
The Phone Call,1
Prizzi's Honor,1
American Sniper,1
The Trip to Bountiful,1
Spectre,1
Return of the Jedi,1
The Hateful Eight,1
Son of Saul,1
A Girl in the River: The Price of Forgiveness,1
Amy,1
The Times of Harvey Milk,1
Inside Out,1
The Stone Carvers,1
Dangerous Moves,1
The Danish Girl,1
Purple Rain,1
Room,1
The Woman in Red,1
Charade,1
Bridge of Spies,1
The River,1
Indiana Jones and the Temple of Doom,1
Kiss of the Spider Woman,1
The Imitation Game,1
Interstellar,1
The Lunch Date,1
Manipulation,1
Total Recall,1
The Red Violin,1
Boys Don't Cry,1
"Girl, Interrupted",1
Sleepy Hollow,1
The Queen,1
The Last King of Scotland,1
Six Shooter,1
The Moon and the Son: An Imagined Conversation,1
One Day in September,1
King Gimp,1
All about My Mother,1
Tarzan,1
Marie Antoinette,1
My Mother Dreams the Satan's Disciples in New York,1
Hustle & Flow,1
Erin Brockovich,1
Pollock,1
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",1
Tsotsi,1
A Note of Triumph: The Golden Age of Norman Corwin,1
Into the Arms of Strangers: Stories of the Kindertransport,1
Big Mama,1
Dr. Seuss' How the Grinch Stole Christmas,1
Happy Feet,1
Gods and Monsters,1
Father and Daughter,1
Affliction,1
Michael Clayton,1
The Long Way Home,1
A Story of Healing,1
Character,1
Men in Black,1
The Full Monty,1
Geri's Game,1
Visas and Virtue,1
Pirates of the Caribbean: Dead Man's Chest,1
Letters from Iwo Jima,1
West Bank Story,1
What Dreams May Come,1
The Danish Poet,1
Babel,1
The Lives of Others,1
The Last Days,1
The Blood of Yingzhou District,1
The Personals: Improvisations on Romance in the Golden Years,1
Elizabeth,1
The Prince of Egypt,1
Bunny,1
Election Night (Valgaften),1
Wonder Boys,1
Quiero Ser (I want to be...),1
Undefeated,1
The ChubbChubbs!,1
Road to Perdition,1
Bowling for Columbine,1
Ryan,1
Twin Towers,1
The Motorcycle Diaries,1
Finding Neverland,1
Nowhere in Africa,1
Lemony Snicket's A Series of Unfortunate Events,1
The Sea Inside,1
8 Mile,1
This Charming Man (Der Er En Yndig Mand),1
Wasp,1
Talk to Her,1
Monster,1
Cold Mountain,1
Finding Nemo,1
Mighty Times: The Children's March,1
Born into Brothels,1
The Fog of War,1
Chernobyl Heart,1
Lost in Translation,1
Two Soldiers,1
Spirited Away,1
The Hours,1
U-571,1
Thoth,1
Almost Famous,1
Training Day,1
March of the Penguins,1
Wallace & Gromit in The Curse of the Were-Rabbit,1
Iris,1
Monster's Ball,1
The Constant Gardener,1
Shrek,1
Walk the Line,1
Murder on a Sunday Morning,1
Syriana,1
Adaptation,1
No Man's Land,1
"Monsters, Inc.",1
For the Birds,1
Capote,1
Eternal Sunshine of the Spotless Mind,1
Sideways,1
the accountant,1
Pearl Harbor,1
Gosford Park,1
Spider-Man 2,1
Ratatouille,1
Sweeney Todd The Demon Barber of Fleet Street,1
Sling Blade,1
The Young Victoria,1
The Last of the Mohicans,1
The New Tenants,1
Logorama,1
Death Becomes Her,1
Star Trek,1
The Crying Game,1
The Secret in Their Eyes,1
The Fugitive,1
Music by Prudence,1
The Cove,1
The Age of Innocence,1
Mona Lisa Descending a Staircase,1
I Am a Promise: The Children of Stanton Elementary School,1
Defending Our Lives,1
Belle Epoque,1
The Blind Side,1
Inglourious Basterds,1
Mrs. Doubtfire,1
The Wrong Trousers,1
Black Rider (Schwarzfahrer),1
Spielzeugland (Toyland),1
La Maison en Petits Cubes,1
Omnibus,1
Indochine,1
Independence Day,1
Harvie Krumpet,1
City Slickers,1
The Fisher King,1
Rango,1
The Help,1
In the Shadow of the Stars,1
Beginners,1
"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1
Mediterraneo,1
God of Love,1
The Lost Thing,1
The Wolfman,1
Educating Peter,1
Session Man,1
Thelma & Louise,1
In a Better World,1
Strangers No More,1
Scent of a Woman,1
Inside Job,1
My Cousin Vinny,1
A River Runs through It,1
Black Swan,1
The Panama Deception,1
Blue Sky,1
Bullets over Broadway,1
The Madness of King George,1
Freeheld,1
Antonia's Line,1
The Postman (Il Postino),1
Atonement,1
A Close Shave,1
Lieberman in Love,1
Babe,1
Sense and Sensibility,1
Shine,1
Jerry Maguire,1
The Counterfeiters,1
Taxi to the Dark Side,1
Legends of the Fall,1
Elizabeth: The Golden Age,1
When We Were Kings,1
Breathing Lessons: The Life and Work of Mark O'Brien,1
Kolya,1
The Nutty Professor,1
Emma,1
Evita,1
Quest,1
Dear Diary,1
The Ghost and the Darkness,1
Once,1
Peter & the Wolf,1
Le Mozart des Pickpockets (The Mozart of Pickpockets),1
One Survivor Remembers,1
"The Adventures of Priscilla, Queen of the Desert",1
Maya Lin: A Strong Clear Vision,1
Departures,1
A Time for Justice,1
Smile Pinki,1
Man on Wire,1
Burnt by the Sun,1
The Duchess,1
Bob's Birthday,1
Franz Kafka's It's a Wonderful Life,1
Trevor,1
Pulp Fiction,1
Leaving Las Vegas,1
WALL-E,1
Vicky Cristina Barcelona,1
The Reader,1
Dead Man Walking,1
Mighty Aphrodite,1
Juno,1
The Golden Compass,1
Anne Frank Remembered,1
The Last Command,1
The Paper Chase,1
Breaking Away,1
A Boy and His Dog,1
State Fair,1
Quiet Please!,1
Stairway to Light,1
Star in the Night,1
The Bells of St. Mary's,1
Wonder Man,1
The House on 92nd Street,1
Marie-Louise,1
To Each His Own,1
The Razor's Edge,1
Seeds of Destiny,1
The Harvey Girls,1
The Cat Concerto,1
Facing Your Danger,1
Blithe Spirit,1
Watch on the Rhine,1
Vacation from Marriage,1
The Seventh Veil,1
The Farmer's Daughter,1
Design for Death,1
First Steps,1
Body and Soul,1
Mother Wore Tights,1
Song of the South,1
Tweetie Pie,1
Good-bye Miss Turlock,1
Climbing the Matterhorn,1
The Bishop's Wife,1
Green Dolphin Street,1
The Bachelor and the Bobby-Soxer,1
Anchors Aweigh,1
Spellbound,1
Hitler Lives?,1
The True Glory,1
For Whom the Bell Tolls,1
Desert Victory,1
December 7th,1
Air Force,1
This Is the Army,1
"Hello, Frisco, Hello",1
Yankee Doodle Mouse,1
Amphibious Fighters,1
Heavenly Music,1
This Land Is Mine,1
Crash Dive,1
The Human Comedy,1
Princess O'Rourke,1
None but the Lonely Heart,1
Laura,1
The Fighting Lady,1
With the Marines at Tarawa,1
Since You Went Away,1
Cover Girl,1
Mouse Trouble,1
Who's Who in Animal Land,1
I Won't Play,1
Thirty Seconds over Tokyo,1
A Tree Grows in Brooklyn,1
Mildred Pierce,1
Blood on the Sun,1
Frenchman's Creek,1
The Picture of Dorian Gray,1
Leave Her to Heaven,1
Johnny Belinda,1
Key Largo,1
The Secret Land,1
Destination Moon,1
The African Queen,1
Kon-Tiki,1
Benjy,1
Here Comes the Groom,1
The Two Mouseketeers,1
World of Kids,1
Nature's Half Acre,1
The Great Caruso,1
When Worlds Collide,1
Seven Days to Noon,1
Viva Zapata!,1
"Come Back, Little Sheba",1
The Sea around Us,1
Neighbours,1
With a Song in My Heart,1
Johann Mouse,1
Light in the Window: The Art of Vermeer,1
Water Birds,1
Breaking the Sound Barrier,1
Plymouth Adventure,1
The Lavender Hill Mob,1
Stalag 17,1
Julius Caesar,1
Shane,1
The Living Desert,1
The Alaskan Eskimo,1
Lili,1
Call Me Madam,1
Calamity Jane,1
Panic in the Streets,1
